Player,Picture,Squad,Squad_picture,Pos,DPos,contribution,Annual Wages,Squad Annual Wages,Con_color,Con_longitude,Pos_Order,DPos_Order,90s,Aerials Won %,Blocks Contribution,Clearance Contribution,Interception Contribution,Pass Completion %,Crosses Completed,Progressive Carries,Tackles Contribution,Touches in Attacking Third,Carries into Final Third,Ball Recoveries,Progressive Passes,Key Passes,Tackles Won,Shot-Creating Actions,xA,Assists,Goals,Progressive Passes Received,xG,xG-G,all_con%,all_latitude,all_longitude,Clean Sheets Contribution,Launch %,PSxG-GA,Pass Completion Contribution,Save%,posrank,dposrank,allposrank,alldposrank
Diogo Dalot,https://fbref.com/req/202302030/images/headshots/d9565625_2022.jpg,Manchester Utd,https://cdn.ssref.net/req/202505011/tlogo/fb/19538893.png,DF,RB,1.89,5397935,239020005,27.8392251827289,70.4766907607624,3,3,30.6,,,,,,63,62,65,37,,,,,,,,,,,,,,40°S-60°S,8.752215555260742,,,,,,1,1,25,10
Noussair Mazraoui,https://fbref.com/req/202302030/images/headshots/b74277a0_2022.jpg,Manchester Utd,https://cdn.ssref.net/req/202505011/tlogo/fb/19538894.png,DF,RB,1.258,8573190,239020005,19.5623622906062,49.5233092392376,3,3,27.5,,,,,,20,34,95,26,,,,,,,,,,,,,,25°S-35°S,9.352718014760187,,,,,,3,2,54,19
Altay Bayındır,https://fbref.com/req/202302030/images/headshots/072e68ed_2022.jpg,Manchester Utd,https://cdn.ssref.net/req/202505011/tlogo/fb/19538895.png,GK,GK,9.46,2222679,239020005,45.496956731491,259.698280463863,4,0,1,,,,,,,,,,,,,,,,,,,,,,,70°S-90°S,46.67231327837914,0,39.2,-0.2,5,33.3,1,1,2,2
André Onana,https://fbref.com/req/202302030/images/headshots/e9c0c1b2_2022.jpg,Manchester Utd,https://cdn.ssref.net/req/202505011/tlogo/fb/19538896.png,GK,GK,2.985,7620614,239020005,17.5720185196404,100.301719536137,4,0,31,,,,,,,,,,,,,,,,,,,,,,,70°S-90°S,18.02596947576667,9,29.1,1.8,102,69.8,2,2,14,14
Alexander Isak,https://fbref.com/req/202302030/images/headshots/8e92be30_2022.jpg,Newcastle Utd,https://cdn.ssref.net/req/202505011/tlogo/fb/b2b47a98.png,FW,ST,1.577,7620614,136451486,34.7904701058605,103.694553621561,1,1,26.8,,,,,,,,,,40,,,,,,,6,21,192,17.5,3.5,,20°N-35°N,10.98566415,,,,,,1,1,11,6
Callum Wilson,https://fbref.com/req/202302030/images/headshots/c596fcb0_2022.jpg,Newcastle Utd,https://cdn.ssref.net/req/202505011/tlogo/fb/b2b47a99.png,FW,ST,0.158,2921235,136451486,2.71270722072986,8.08534531162268,1,1,2.8,,,,,,,,,,4,,,,,,,0,0,9,0.3,-0.3,,35°N-40°N,2.542372881,,,,,,6,3,134,51
William Osula,https://fbref.com/req/202302030/images/headshots/7b355808_2022.jpg,Newcastle Utd,https://cdn.ssref.net/req/202505011/tlogo/fb/b2b47a100.png,FW,ST,0.16,1270102,136451486,2.75791900774203,8.22010106681639,1,1,1,,,,,,,,,,1,,,,,,,0,0,7,0,0,,60°N-70°N,2.786978869,,,,,,5,2,133,50
Anthony Gordon,https://fbref.com/req/202302030/images/headshots/2bd83368_2022.jpg,Newcastle Utd,https://cdn.ssref.net/req/202505011/tlogo/fb/b2b47a101.png,FW,LW,1.038,9525767,136451486,22.6058935060822,63.5930047694754,1,2,24.2,,,,,,,,,,54,,,,,,,5,6,190,7.9,-1.9,,40°N-60°N,8.98405330538292,,,,,,3,1,42,14
Harvey Barnes,https://fbref.com/req/202302030/images/headshots/3ea50f67_2022.jpg,Newcastle Utd,https://cdn.ssref.net/req/202505011/tlogo/fb/b2b47a102.png,FW,LW,0.925,5080409,136451486,20.0514275398949,56.4069952305246,1,2,14.9,,,,,,,,,,37,,,,,,,4,9,143,6.2,2.8,,20°N-35°N,7.90846273868784,,,,,,4,2,52,19
Jacob Murphy,https://fbref.com/req/202302030/images/headshots/de112b84_2022.jpg,Newcastle Utd,https://cdn.ssref.net/req/202505011/tlogo/fb/b2b47a103.png,FW,RW,1.091,2222679,136451486,23.8040058619046,120,1,3,22.4,,,,,,,,,,30,,,,,,,11,8,187,5.5,2.5,,40°N-60°N,12.77783395692184,,,,,,2,1,38,8
Joe Willock,https://fbref.com/req/202302030/images/headshots/a3b03921_2022.jpg,Newcastle Utd,https://cdn.ssref.net/req/202505011/tlogo/fb/b2b47a104.png,MF,CM,1.808,5080409,136451486,25.1167078988931,35.9186072683512,2,1,9.9,,,,,,,,,,22,,34,18,,38,0.8,,,,,,,5°N-20°N,7.079440893694652,,,,,,2,2,29,10
Joelinton,https://fbref.com/req/202302030/images/headshots/c17bfb65_2022.jpg,Newcastle Utd,https://cdn.ssref.net/req/202505011/tlogo/fb/b2b47a105.png,MF,CM,2.541,9525767,136451486,33.6143514102555,48.0708177100918,2,1,26.6,,,,,,,,,,26,,116,23,,61,2.3,,,,,,,20°S-5°S,9.62421987260842,,,,,,1,1,9,3
Lewis Miley,https://fbref.com/req/202302030/images/headshots/2c6835e5_2022.jpg,Newcastle Utd,https://cdn.ssref.net/req/202505011/tlogo/fb/b2b47a106.png,MF,CM,0.632,317526,136451486,11.4833807919871,16.422018619665,2,1,2.5,,,,,,,,,,1,,13,1,,3,0.1,,,,,,,5°S-5°N,4.911961113006387,,,,,,5,4,97,49
Sean Longstaff,https://fbref.com/req/202302030/images/headshots/a2b105e0_2022.jpg,Newcastle Utd,https://cdn.ssref.net/req/202505011/tlogo/fb/b2b47a107.png,MF,CM,0.823,3175256,136451486,13.6976371503366,19.5885564018921,2,1,8.9,,,,,,,,,,10,,40,4,,14,0.2,,,,,,,5°N-20°N,3.860840878487801,,,,,,4,3,75,36
Bruno Guimarães,https://fbref.com/req/202302030/images/headshots/82518f62_2022.jpg,Newcastle Utd,https://cdn.ssref.net/req/202505011/tlogo/fb/b2b47a108.png,MF,CDM,3.977,10160818,136451486,16.0319122827553,75.4898049852785,2,3,31.4,,32,,27,82.1,,,,,,156,227,43,41,,,,,,,,,5°S-5°N,10.10478841300663,,,,,,3,1,61,19
Sandro Tonali,https://fbref.com/req/202302030/images/headshots/0db169ae_2022.jpg,Newcastle Utd,https://cdn.ssref.net/req/202505011/tlogo/fb/b2b47a109.png,MF,CDM,2.719,7620614,136451486,9.45271407580803,44.5101950147215,2,3,24.2,,29,,29,83.2,,,,,,156,96,13,30,,,,,,,,,5°S-5°N,5.957971449696183,,,,,,6,2,111,29
Dan Burn,https://fbref.com/req/202302030/images/headshots/b2d31e83_2022.jpg,Newcastle Utd,https://cdn.ssref.net/req/202505011/tlogo/fb/b2b47a110.png,DF,CB,1.829,3492781,136451486,18.5864529652133,27.8105990159095,3,1,32,66.7,31,166,25,89.2,,,,,,,,,,,,,,,,,,40°S-60°S,3.039089130508599,,,,,,5,3,60,26
Fabian Schär,https://fbref.com/req/202302030/images/headshots/c8aa95da_2022.jpg,Newcastle Utd,https://cdn.ssref.net/req/202505011/tlogo/fb/b2b47a111.png,DF,CB,1.708,2857730,136451486,17.7780037604899,26.6009299790377,3,1,27.7,37.9,35,112,40,83.3,,,,,,,,,,,,,,,,,,25°S-35°S,4.195039546820726,,,,,,6,4,69,31
Lloyd Kelly,https://fbref.com/req/202302030/images/headshots/f31def1e_2022.jpg,Newcastle Utd,https://cdn.ssref.net/req/202505011/tlogo/fb/b2b47a112.png,DF,CB,2.071,9525767,136451486,20.2033513746602,30.2299370896533,3,1,3.4,75,6,17,1,80.7,,,,,,,,,,,,,,,,,,25°S-35°S,4.767343911996059,,,,,,4,2,49,19
Sven Botman,https://fbref.com/req/202302030/images/headshots/ccce7025_2022.jpg,Newcastle Utd,https://cdn.ssref.net/req/202505011/tlogo/fb/b2b47a113.png,DF,CB,2.584,5715460,136451486,23.6309087467521,35.3585339153995,3,1,2.5,64.3,2,12,4,88.3,,,,,,,,,,,,,,,,,,40°S-60°S,3.863913036592175,,,,,,1,1,33,10
Lewis Hall,https://fbref.com/req/202302030/images/headshots/da011f18_2022.jpg,Newcastle Utd,https://cdn.ssref.net/req/202505011/tlogo/fb/b2b47a114.png,DF,LB,1.411,444536,136451486,21.5660965034144,92.6664439534852,3,2,24.3,,,,,,110,41,58,22,,,,,,,,,,,,,,25°S-35°S,13.37007862991282,,,,,,3,1,41,11
Matt Targett,https://fbref.com/req/202302030/images/headshots/e514ab62_2022.jpg,Newcastle Utd,https://cdn.ssref.net/req/202505011/tlogo/fb/b2b47a115.png,DF,LB,0.25,6350511,136451486,6.36128982975238,27.3335560465148,3,2,0.2,,,,,,1,0,0,0,,,,,,,,,,,,,,20°S-25°S,7.105627261794404,,,,,,9,2,175,35
Emil Krafth,https://fbref.com/req/202302030/images/headshots/77cf6852_2022.jpg,Newcastle Utd,https://cdn.ssref.net/req/202505011/tlogo/fb/b2b47a116.png,DF,RB,0.307,3492781,136451486,7.10777904628876,19.4748828018373,3,3,3.2,,,,,,1,3,4,3,,,,,,,,,,,,,,20°S-25°S,6.020033611343274,,,,,,8,3,174,45
Kieran Trippier,https://fbref.com/req/202302030/images/headshots/21512407_2022.jpg,Newcastle Utd,https://cdn.ssref.net/req/202505011/tlogo/fb/b2b47a117.png,DF,RB,0.88,7620614,136451486,14.611960117786,40.0358830720248,3,3,12.2,,,,,,62,21,32,11,,,,,,,,,,,,,,20°S-25°S,12.37580550321252,,,,,,7,2,101,26
Valentino Livramento,https://fbref.com/req/202302030/images/headshots/afed6722_2022.jpg,Newcastle Utd,https://cdn.ssref.net/req/202505011/tlogo/fb/b2b47a118.png,DF,RB,1.45,3175256,136451486,22.0768522831498,60.4892341261379,3,3,26.6,,,,,,40,68,49,37,,,,,,,,,,,,,,25°S-35°S,10.55488958800059,,,,,,2,1,39,17
Martin Dúbravka,https://fbref.com/req/202302030/images/headshots/3a949a25_2022.jpg,Newcastle Utd,https://cdn.ssref.net/req/202505011/tlogo/fb/b2b47a119.png,GK,GK,1.861,2540205,136451486,11.3450655598543,164.313624690076,4,0,10,,,,,,,,,,,,,,,,,,,,,,,70°S-90°S,11.63815103278705,5,15.8,0.9,18,70.7,2,2,34,34
Nick Pope,https://fbref.com/req/202302030/images/headshots/4b40d9ca_2022.jpg,Newcastle Utd,https://cdn.ssref.net/req/202505011/tlogo/fb/b2b47a120.png,GK,GK,2.252,3810307,136451486,13.5112031108119,195.686375309924,4,0,23,,,,,,,,,,,,,,,,,,,,,,,70°S-90°S,13.86024801784491,6,27.3,0.9,62,70.5,1,1,24,24
Chris Wood,https://fbref.com/req/202302030/images/headshots/4e9a0555_2022.jpg,Nott'ham Forest,https://cdn.ssref.net/req/202505011/tlogo/fb/e4a775cb.png,FW,ST,1.362,5080409,83890867,29.9302030020529,88.561872909699,1,1,27,,,,,,,,,,9,,,,,,,3,18,74,11,7,,40°N-60°N,9.921938425,,,,,,2,1,21,11
