Player,Picture,Squad,Squad_picture,Pos,DPos,contribution,Annual Wages,Squad Annual Wages,Con_color,Con_longitude,Pos_Order,DPos_Order,90s,Aerials Won %,Blocks Contribution,Clearance Contribution,Interception Contribution,Pass Completion %,Crosses Completed,Progressive Carries,Tackles Contribution,Touches in Attacking Third,Carries into Final Third,Ball Recoveries,Progressive Passes,Key Passes,Tackles Won,Shot-Creating Actions,xA,Assists,Goals,Progressive Passes Received,xG,xG-G,all_con%,all_latitude,all_longitude,Clean Sheets Contribution,Launch %,PSxG-GA,Pass Completion Contribution,Save%,posrank,dposrank,allposrank,alldposrank
Malo Gusto,https://fbref.com/req/202302030/images/headshots/d56b9520_2022.jpg,Chelsea,https://cdn.ssref.net/req/202505011/tlogo/fb/cff3d29bb.png,DF,RB,1.898,2857730,227419141,27.9439955990849,83.2009249103481,3,3,19.7,,,,,,50.0,47.0,43.0,32.0,,,,,,,,,,,,,,,,,,,,,1,1,23,9
Reece James,https://fbref.com/req/202302030/images/headshots/1265a93a_2022.jpg,Chelsea,https://cdn.ssref.net/req/202505011/tlogo/fb/cff3d30bb.png,DF,RB,0.708,15876279,227419141,12.3593961661324,36.7990750896519,3,3,8.5,,,,,,35.0,5.0,8.0,4.0,,,,,,,,,,,,,,,,,,,,,8,2,140,35
Filip Jørgensen,https://fbref.com/req/202302030/images/headshots/0107757e_2022.jpg,Chelsea,https://cdn.ssref.net/req/202505011/tlogo/fb/cff3d31bb.png,GK,GK,1.873,3175256,227419141,11.4115454846918,148.526023876075,4,0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,18.1,0.3,7.0,71.4,2,2,33,33
Robert Sánchez,https://fbref.com/req/202302030/images/headshots/6a713852_2022.jpg,Chelsea,https://cdn.ssref.net/req/202505011/tlogo/fb/cff3d32bb.png,GK,GK,2.746,3810307,227419141,16.2479600166254,211.473976123925,4,0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,7.0,31.1,2.0,80.0,76.8,1,1,17,17
Matheus França,https://fbref.com/req/202302030/images/headshots/077faf72_2022.jpg,Crystal Palace,https://cdn.ssref.net/req/202505011/tlogo/fb/47c64c55.png,FW,CAM,2.034,2540205,92238727,27.7367180401863,51.5946362761549,1,0,0.3,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,3,1,28,6
Eddie Nketiah,https://fbref.com/req/202302030/images/headshots/a53649b7_2022.jpg,Crystal Palace,https://cdn.ssref.net/req/202505011/tlogo/fb/47c64c56.png,FW,ST,0.905,5715460,92238727,19.5993096697733,37.2636103151862,1,1,8.9,,,,,,,,,,19.0,,,,,,,1.0,1.0,65.0,3.7,-2.7,,,,,,,,,4,2,53,18
Jean-Philippe Mateta,https://fbref.com/req/202302030/images/headshots/50e6dc35_2022.jpg,Crystal Palace,https://cdn.ssref.net/req/202505011/tlogo/fb/47c64c57.png,FW,ST,1.688,3175256,92238727,37.2997242850357,70.9169054441261,1,1,27.0,,,,,,,,,,20.0,,,,,,,2.0,13.0,114.0,12.0,1.0,,,,,,,,,2,1,9,4
Odsonne Édouard,https://fbref.com/req/202302030/images/headshots/0562b7f1_2022.jpg,Crystal Palace,https://cdn.ssref.net/req/202505011/tlogo/fb/47c64c58.png,FW,ST,0.313,5715460,92238727,6.21662071417261,11.8194842406877,1,1,0.8,,,,,,,,,,0.5,,,,,,,0.0,0.0,4.5,0.2,-0.2,,,,,,,,,6,3,126,49
Ismaila Sarr,https://fbref.com/req/202302030/images/headshots/bfdb33aa_2022.jpg,Crystal Palace,https://cdn.ssref.net/req/202505011/tlogo/fb/47c64c59.png,FW,RW,1.896,4445358,92238727,42.0017501343008,92.5913621262458,1,3,26.3,,,,,,,,,,41.0,,,,,,,4.0,7.0,160.0,8.3,-1.3,,,,,,,,,1,1,5,4
Jordan Ayew,https://fbref.com/req/202302030/images/headshots/da052c14_2022.jpg,Crystal Palace,https://cdn.ssref.net/req/202505011/tlogo/fb/47c64c60.png,FW,RW,0.588,1905153,92238727,12.4332414283452,27.4086378737541,1,3,7.4,,,,,,,,,,15.0,,,,,,,0.0,2.0,34.5,1.65,0.35,,,,,,,,,5,2,99,24
Adam Wharton,https://fbref.com/req/202302030/images/headshots/4b542852_2022.jpg,Crystal Palace,https://cdn.ssref.net/req/202505011/tlogo/fb/47c64c61.png,MF,CM,1.078,2222679,92238727,16.6538432832116,46.1585554916414,2,1,13.3,,,,,,,,,,20.0,,103.0,23.0,,54.0,1.9,,,,,,,,,,,,,,3,1,57,24
Justin Devenny,0,Crystal Palace,https://cdn.ssref.net/req/202505011/tlogo/fb/47c64c62.png,MF,CM,0.549,206120,92238727,10.5211646781493,29.1609423347112,2,1,3.9,,,,,,,,,,5.0,,13.0,6.0,,10.0,0.4,,,,,,,,,,,,,,7,3,103,54
